second,queries,ok,fail,fail_pct,wan_queries,wan_fail_pct,lan_queries,lan_fail_pct,top_errors
0,5,5,0,0.0,5,0.0,0,0,-
1,5,5,0,0.0,5,0.0,0,0,-
2,5,5,0,0.0,5,0.0,0,0,-
3,5,5,0,0.0,5,0.0,0,0,-
4,5,4,1,20.0,5,20.0,0,0,timeout:1
5,5,5,0,0.0,4,0.0,1,0.0,-
6,5,5,0,0.0,5,0.0,0,0,-
7,5,5,0,0.0,5,0.0,0,0,-
8,5,5,0,0.0,5,0.0,0,0,-
9,5,5,0,0.0,5,0.0,0,0,-
10,5,5,0,0.0,5,0.0,0,0,-
11,5,5,0,0.0,5,0.0,0,0,-
12,5,5,0,0.0,5,0.0,0,0,-
13,5,5,0,0.0,5,0.0,0,0,-
14,5,5,0,0.0,5,0.0,0,0,-
15,5,5,0,0.0,5,0.0,0,0,-
16,5,5,0,0.0,5,0.0,0,0,-
17,5,5,0,0.0,4,0.0,1,0.0,-
18,5,5,0,0.0,5,0.0,0,0,-
19,5,5,0,0.0,5,0.0,0,0,-
20,5,5,0,0.0,5,0.0,0,0,-
21,5,5,0,0.0,4,0.0,1,0.0,-
22,5,5,0,0.0,5,0.0,0,0,-
23,5,5,0,0.0,5,0.0,0,0,-
24,5,5,0,0.0,5,0.0,0,0,-
25,5,5,0,0.0,5,0.0,0,0,-
26,5,5,0,0.0,5,0.0,0,0,-
27,5,5,0,0.0,5,0.0,0,0,-
28,5,5,0,0.0,5,0.0,0,0,-
29,5,5,0,0.0,4,0.0,1,0.0,-
30,5,5,0,0.0,5,0.0,0,0,-
31,5,5,0,0.0,5,0.0,0,0,-
32,5,5,0,0.0,5,0.0,0,0,-
33,5,5,0,0.0,5,0.0,0,0,-
34,5,5,0,0.0,5,0.0,0,0,-
35,5,5,0,0.0,5,0.0,0,0,-
36,5,5,0,0.0,5,0.0,0,0,-
37,5,5,0,0.0,5,0.0,0,0,-
38,5,5,0,0.0,4,0.0,1,0.0,-
39,5,5,0,0.0,5,0.0,0,0,-
40,5,5,0,0.0,5,0.0,0,0,-
41,5,5,0,0.0,5,0.0,0,0,-
42,5,5,0,0.0,5,0.0,0,0,-
43,5,5,0,0.0,5,0.0,0,0,-
44,5,5,0,0.0,5,0.0,0,0,-
45,5,5,0,0.0,5,0.0,0,0,-
46,5,5,0,0.0,5,0.0,0,0,-
47,5,5,0,0.0,5,0.0,0,0,-
48,5,5,0,0.0,4,0.0,1,0.0,-
49,5,5,0,0.0,5,0.0,0,0,-
50,5,5,0,0.0,5,0.0,0,0,-
51,5,5,0,0.0,5,0.0,0,0,-
